experiment,model,hurs,tas,mrsos,vpd,ca,sw
ssp126,IPSL-CM6A-LR,70.7816,286.28015,20.947716,1.0712393950290238,453.75729678198695,-2.221704151721463
ssp126,MIROC6,62.58776,291.2325,27.143827,1.3017081340448935,453.75729678198695,-1.595823394776675
ssp126,MPI-ESM1-2-LR,66.32319,287.55966,17.975088,1.090991322885849,453.75729678198695,-2.72913713076755
ssp126,MPI-ESM1-2-HR,67.08554,287.16098,18.071846,1.0753455589804903,453.75729678198695,-2.7098378787443043
ssp126,CESM2-WACCM,63.93359,289.16888,28.268482,1.1664905151458251,453.75729678198695,-1.5095241725823978
ssp126,GFDL-ESM4,75.9688,285.66864,24.125761,1.1045223835474096,453.75729678198695,-1.8466881979107455
ssp126,ACCESS-CM2,69.36597,287.2192,20.982128,1.1161144689273368,453.75729678198695,-2.217700623144785
ssp126,CanESM5,71.0833,288.48834,21.895706,1.2415400127442584,453.75729678198695,-2.0981531937508047
ssp126,MRI-ESM2-0,69.67641,287.2501,26.315214,1.1233622484982562,453.75729678198695,-1.6515492883713383
