experiment,model,hurs,tas,mrsos,vpd,ca,sw
historical,GFDL-CM4,73.29982,284.34045,25.228865,0.9761032090558519,368.2123484909091,-1.4062980612805214
historical,MIROC6,63.711758,289.72485,27.829378,1.2044392221371765,368.2123484909091,-1.251356541206625
historical,MPI-ESM1-2-HR,68.45124,286.0782,18.451334,1.0223549353346215,368.2123484909091,-2.138433591544919
historical,CESM2-WACCM,64.8617,287.58484,28.98735,1.0686923936141497,368.2123484909091,-1.1805163044662454
historical,ACCESS-ESM1-5,71.69268,287.46143,19.764572,1.1718321433216576,368.2123484909091,-1.9476677064896728
historical,CanESM5,71.1877,286.44852,22.161127,1.089317355380203,368.2123484909091,-1.6739583080458214
historical,MRI-ESM2-0,70.19325,285.5986,26.749115,1.0158583355904258,368.2123484909091,-1.3056748328788506
historical,IPSL-CM6A-LR,72.830925,284.72443,21.254404,0.9948981806612338,368.2123484909091,-1.7659990677574207
historical,CESM2,65.23882,287.5741,28.82569,1.0741583512748314,368.2123484909091,-1.1893972023765251
historical,ACCESS-CM2,70.95677,285.11707,21.96662,0.994812019093751,368.2123484909091,-1.6899947620790448
historical,SAM0-UNICON,68.65059,285.5718,24.020935,0.9917813557326334,368.2123484909091,-1.5011608945056443
historical,MPI-ESM1-2-LR,68.071175,286.52966,18.441061,1.0471660609832518,368.2123484909091,-2.139776403841401
historical,MPI-ESM-1-2-HAM,69.300026,285.59558,19.050907,1.002731990300702,368.2123484909091,-2.04718658115501
