experiment,model,hurs,tas,mrsos,vpd,ca,sw
ssp245,MPI-ESM1-2-HR,65.61836,286.9368,18.227848,1.0365979089062043,572.1704704531779,-3.3784772939844196
ssp245,GFDL-CM4,72.076485,286.0856,24.885777,1.0770222659864583,572.1704704531779,-2.2346768250667224
ssp245,MRI-ESM2-0,69.96153,287.24374,26.511858,1.1274932219992972,572.1704704531779,-2.063024857210871
ssp245,MPI-ESM1-2-LR,67.1816,287.71957,17.80892,1.1166145627118114,572.1704704531779,-3.4836107469998545
ssp245,EC-Earth3,66.60843,287.42856,24.490791,1.086410549341244,572.1704704531779,-2.2823583221473935
ssp245,IPSL-CM6A-LR,70.62605,286.4705,20.83477,1.0822767896822056,572.1704704531779,-2.821974809910007
ssp245,MIROC6,62.264233,291.4173,26.93869,1.3101198282071629,572.1704704531779,-2.0319558565483375
ssp245,ACCESS-CM2,69.83514,287.1749,21.154757,1.1204334571538979,572.1704704531779,-2.766418268572853
ssp245,CanESM5,71.21444,288.6879,21.754034,1.259886049622914,572.1704704531779,-2.66798917210925
ssp245,GFDL-ESM4,75.06956,285.90228,24.586329,1.108336142015274,572.1704704531779,-2.272384449518112
