experiment,model,hurs,tas,mrsos,vpd,ca,sw
ssp370,MPI-ESM1-2-HR,65.72893,287.20218,18.230486,1.0564247287750785,483.98323512325686,-2.8567114106816494
ssp370,MRI-ESM2-0,69.8003,287.24573,26.152754,1.1250402751211563,483.98323512325686,-1.7757604610085866
ssp370,MPI-ESM1-2-LR,66.89677,287.8628,17.915775,1.1222283138635976,483.98323512325686,-2.9225126991594603
ssp370,IPSL-CM6A-LR,70.652954,286.48608,20.97318,1.0837920690149487,483.98323512325686,-2.3661779765003907
ssp370,MIROC6,62.470722,291.10037,27.067362,1.28850725786076,483.98323512325686,-1.707695017299777
ssp370,ACCESS-CM2,70.04953,287.27786,21.181599,1.1314159510979782,483.98323512325686,-2.3362872109790285
ssp370,CanESM5,71.59448,288.8742,21.69,1.2818427980423088,483.98323512325686,-2.26524821743812
ssp370,GFDL-ESM4,75.20258,285.65808,24.521162,1.0926229175596742,483.98323512325686,-1.9278559751114266
ssp370,MPI-ESM-1-2-HAM,68.364784,287.64682,18.480913,1.1309416369613414,483.98323512325686,-2.801814241455731
