year,SPEI_mean,tree,lat,lon
1979,-0.19568458199501038,001 _XX_ Acer refinerve,35.3,135.717
1980,1.0286466223852975,001 _XX_ Acer refinerve,35.3,135.717
1981,-0.05089295841753483,001 _XX_ Acer refinerve,35.3,135.717
1982,-0.7600403012973922,001 _XX_ Acer refinerve,35.3,135.717
1983,0.4104095846414566,001 _XX_ Acer refinerve,35.3,135.717
1984,-0.9440358706883022,001 _XX_ Acer refinerve,35.3,135.717
1985,0.7997537452195372,001 _XX_ Acer refinerve,35.3,135.717
1986,-0.34006257568086895,001 _XX_ Acer refinerve,35.3,135.717
1987,-0.9816190600395203,001 _XX_ Acer refinerve,35.3,135.717
1988,0.28532484599522184,001 _XX_ Acer refinerve,35.3,135.717
1989,0.8778243213891983,001 _XX_ Acer refinerve,35.3,135.717
1990,-0.3504753636994532,001 _XX_ Acer refinerve,35.3,135.717
1991,0.8346071690320969,001 _XX_ Acer refinerve,35.3,135.717
1992,-0.593084347567388,001 _XX_ Acer refinerve,35.3,135.717
1993,0.9765257069042751,001 _XX_ Acer refinerve,35.3,135.717
1994,-2.053122775895255,001 _XX_ Acer refinerve,35.3,135.717
1995,-0.05548341505761657,001 _XX_ Acer refinerve,35.3,135.717
1996,-1.2670121363231115,001 _XX_ Acer refinerve,35.3,135.717
1997,-0.24099005439451762,001 _XX_ Acer refinerve,35.3,135.717
1998,1.3247373955590385,001 _XX_ Acer refinerve,35.3,135.717
1999,-0.3326470154736723,001 _XX_ Acer refinerve,35.3,135.717
2000,-1.380840037550245,001 _XX_ Acer refinerve,35.3,135.717
2001,-1.062390638249261,001 _XX_ Acer refinerve,35.3,135.717
2002,-1.189224089894976,001 _XX_ Acer refinerve,35.3,135.717
2003,0.7481827565601894,001 _XX_ Acer refinerve,35.3,135.717
2004,-0.7831122321741921,001 _XX_ Acer refinerve,35.3,135.717
2005,-1.5260902728353227,001 _XX_ Acer refinerve,35.3,135.717
2006,0.7051546296903065,001 _XX_ Acer refinerve,35.3,135.717
2007,-1.124218421322959,001 _XX_ Acer refinerve,35.3,135.717
2008,-0.6723347609596593,001 _XX_ Acer refinerve,35.3,135.717
2009,-0.329469162438597,001 _XX_ Acer refinerve,35.3,135.717
2010,0.5604244981493268,001 _XX_ Acer refinerve,35.3,135.717
2011,0.4002395181783608,001 _XX_ Acer refinerve,35.3,135.717
2012,-0.31842085492930244,001 _XX_ Acer refinerve,35.3,135.717
2013,-0.3938325047492981,001 _XX_ Acer refinerve,35.3,135.717
2014,-0.7306281094040189,001 _XX_ Acer refinerve,35.3,135.717
2015,0.27715562942570876,001 _XX_ Acer refinerve,35.3,135.717
2016,-0.16425108164548874,001 _XX_ Acer refinerve,35.3,135.717
2017,-1.131702674286706,001 _XX_ Acer refinerve,35.3,135.717
2018,0.4043885724885123,001 _XX_ Acer refinerve,35.3,135.717
1901,0.6405012786388398,002 _XX_ Abies alba,46.91,6.79
1902,0.46342153953654425,002 _XX_ Abies alba,46.91,6.79
1903,-0.3622315973043442,002 _XX_ Abies alba,46.91,6.79
1904,-0.3627157046326569,002 _XX_ Abies alba,46.91,6.79
1905,-0.26465167318071636,002 _XX_ Abies alba,46.91,6.79
1906,-1.1299217343330383,002 _XX_ Abies alba,46.91,6.79
1907,-0.3920580595731735,002 _XX_ Abies alba,46.91,6.79
1908,-0.02930844042982374,002 _XX_ Abies alba,46.91,6.79
1909,-0.5662694722414017,002 _XX_ Abies alba,46.91,6.79
1910,0.999852750982557,002 _XX_ Abies alba,46.91,6.79
1911,-1.1588764233248574,002 _XX_ Abies alba,46.91,6.79
1912,0.06813353300094604,002 _XX_ Abies alba,46.91,6.79
1913,-0.6502028022493634,002 _XX_ Abies alba,46.91,6.79
1914,1.1542006731033325,002 _XX_ Abies alba,46.91,6.79
1915,0.41770648530551363,002 _XX_ Abies alba,46.91,6.79
1916,0.8267112800053188,002 _XX_ Abies alba,46.91,6.79
1917,0.3772492202531014,002 _XX_ Abies alba,46.91,6.79
1918,-0.5894175491162709,002 _XX_ Abies alba,46.91,6.79
1919,0.11016939793314252,002 _XX_ Abies alba,46.91,6.79
1920,-0.16135419233302986,002 _XX_ Abies alba,46.91,6.79
1921,-1.7346447535923548,002 _XX_ Abies alba,46.91,6.79
1922,1.173235501561846,002 _XX_ Abies alba,46.91,6.79
1923,-0.10490793841225761,002 _XX_ Abies alba,46.91,6.79
1924,0.6542363581912858,002 _XX_ Abies alba,46.91,6.79
1925,-0.618404392685209,002 _XX_ Abies alba,46.91,6.79
1926,0.6605418675712177,002 _XX_ Abies alba,46.91,6.79
1927,0.6745291905743735,002 _XX_ Abies alba,46.91,6.79
1928,-0.3428621542240892,002 _XX_ Abies alba,46.91,6.79
1929,-1.0556570206369673,002 _XX_ Abies alba,46.91,6.79
1930,1.0960535683802195,002 _XX_ Abies alba,46.91,6.79
1931,0.4694424644112587,002 _XX_ Abies alba,46.91,6.79
1932,0.6463824957609177,002 _XX_ Abies alba,46.91,6.79
1933,-0.4374668800405094,002 _XX_ Abies alba,46.91,6.79
1934,-1.229592433997563,002 _XX_ Abies alba,46.91,6.79
1935,0.3070883724306311,002 _XX_ Abies alba,46.91,6.79
1936,0.48968696913548876,002 _XX_ Abies alba,46.91,6.79
1937,0.5509629888193948,002 _XX_ Abies alba,46.91,6.79
1938,-0.743826567328402,002 _XX_ Abies alba,46.91,6.79
1939,0.8541970040116992,002 _XX_ Abies alba,46.91,6.79
1940,0.33685592748224735,002 _XX_ Abies alba,46.91,6.79
1941,0.3508126190198319,002 _XX_ Abies alba,46.91,6.79
1942,-1.075818487576076,002 _XX_ Abies alba,46.91,6.79
1943,-1.023902450289045,002 _XX_ Abies alba,46.91,6.79
1944,-1.33457955292293,002 _XX_ Abies alba,46.91,6.79
1945,-0.8086953588894435,002 _XX_ Abies alba,46.91,6.79
1946,-0.10256316406386239,002 _XX_ Abies alba,46.91,6.79
1947,-1.0211940663201469,002 _XX_ Abies alba,46.91,6.79
1948,0.3969051731484277,002 _XX_ Abies alba,46.91,6.79
1949,-1.6871922697339738,002 _XX_ Abies alba,46.91,6.79
1950,-0.632216887814658,002 _XX_ Abies alba,46.91,6.79
1951,1.0495070644787379,002 _XX_ Abies alba,46.91,6.79
1952,-0.3910776036126273,002 _XX_ Abies alba,46.91,6.79
1953,-0.47452877195818083,002 _XX_ Abies alba,46.91,6.79
1954,-0.1297952107020787,002 _XX_ Abies alba,46.91,6.79
1955,0.5611820467415133,002 _XX_ Abies alba,46.91,6.79
1956,0.7066672742366791,002 _XX_ Abies alba,46.91,6.79
1957,-0.3280415529651301,002 _XX_ Abies alba,46.91,6.79
1958,0.6252634908471789,002 _XX_ Abies alba,46.91,6.79
1959,-0.7719389484929187,002 _XX_ Abies alba,46.91,6.79
1960,0.4820200667849609,002 _XX_ Abies alba,46.91,6.79
1961,-0.467041939496994,002 _XX_ Abies alba,46.91,6.79
1962,-0.2752982463155474,002 _XX_ Abies alba,46.91,6.79
1963,0.729280099272728,002 _XX_ Abies alba,46.91,6.79
1964,-0.9622516632080078,002 _XX_ Abies alba,46.91,6.79
1965,1.2134186433894294,002 _XX_ Abies alba,46.91,6.79
1966,0.2882805292361549,002 _XX_ Abies alba,46.91,6.79
1967,-0.31722573031272205,002 _XX_ Abies alba,46.91,6.79
1968,0.7140918012176242,002 _XX_ Abies alba,46.91,6.79
1969,0.42752950532095774,002 _XX_ Abies alba,46.91,6.79
1970,1.177284883601325,002 _XX_ Abies alba,46.91,6.79
1971,-0.926182644707816,002 _XX_ Abies alba,46.91,6.79
1972,-0.8255603526319776,002 _XX_ Abies alba,46.91,6.79
1973,-0.3126582529928003,002 _XX_ Abies alba,46.91,6.79
1974,-0.4842030831745693,002 _XX_ Abies alba,46.91,6.79
1975,-0.0979046712496451,002 _XX_ Abies alba,46.91,6.79
1976,-1.9489730085645403,002 _XX_ Abies alba,46.91,6.79
1977,1.7013951114245824,002 _XX_ Abies alba,46.91,6.79
1978,1.0129753074475698,002 _XX_ Abies alba,46.91,6.79
